Location,Layer,Environment,Service,"VM 
Hostname (new name)",IP,No. of TZ Mgmt VLAN IP,No. of Frontend App VLAN IP,No. of IVRS VLAN IP
PCC,MCN RZ,Production,Desktop Computer x 40,TBC,TBC,0,40,0
PCC,MCN RZ,Production,Access Switch x 2,TBC,TBC,2,0,0
PCC,MCN RZ,Production,TV Wall Controller,TBC,TBC,1,0,0
PCC,MCN RZ,Production,UPS,TBC,TBC,1,0,0
PCC,AN,Production,IP Phone x 40,TBC,TBC,0,0,40
PCC,AN,Production,Access Switch x 2,TBC,TBC,2,0,0
PCC,AN,Production,Voice Logging server for Analogue PBX,TBC,TBC,0,0,2
SCC,MCN RZ,Production,Desktop Computer x 40,TBC,TBC,0,40,0
SCC,MCN RZ,Production,Access Switch x 2,TBC,TBC,2,0,0
SCC,MCN RZ,Production,TV Wall Controller,TBC,TBC,1,0,0
SCC,MCN RZ,Production,UPS,TBC,TBC,1,0,0
SCC,AN,Production,IP Phone x 40,TBC,TBC,0,0,40
SCC,AN,Production,Access Switch x 2,TBC,TBC,2,0,0
,,,,,Number of IP adddresses: ,12,80,82
